customerID,gender,tenure,Contract,MonthlyCharges,TotalCharges,PaymentMethod,Churn
CUST100159,Female,12,One year,103.22,1242.14,Mailed check,No
CUST100160,Male,4,Month-to-month,69.4,293.16,Credit card,No
CUST100161,Male,51,Two year,31.85,1641.86,Credit card,No
CUST100162,Female,40,Month-to-month,21.36,836.55,Credit card,Yes
CUST100163,Female,52,One year,50.32,2616.68,,Yes
CUST100164,Female,49,One year,89.8,4395.2,Credit card,No
CUST100165,Male,14,,99.03,1391.45,Bank transfer,No
CUST100166,Female,6,One year,49.58,309.22,,Yes
CUST100167,Male,39,Month-to-month,69.57,2704.45,Credit card,No
CUST100168,Male,27,One year,62.11,1679.24,Credit card,No
CUST100169,Female,31,Two year,61.05,1900.9,Mailed check,Yes
CUST100170,Female,14,One year,43.13,,Bank transfer,No
CUST100171,,69,One year,33.64,2333.72,Bank transfer,No
CUST100172,Male,64,One year,39.67,2543.12,Electronic check,No
CUST100173,,3,Two year,25.53,94.57,Bank transfer,No
CUST100174,Female,10,One year,39.81,391.68,Mailed check,No
CUST100175,Female,25,One year,,507.33,Mailed check,No
CUST100176,Male,60,Month-to-month,82.73,4964.06,Electronic check,No
CUST100177,Male,36,Two year,51.64,1842.47,Mailed check,No
CUST100178,Male,22,One year,117.31,2599.6,Credit card,No
CUST100179,Male,39,Two year,39.37,1516.98,Credit card,No
CUST100180,Male,22,,54.58,1210.9,Mailed check,Yes
CUST100181,Male,15,,55.78,837.7,Electronic check,No
CUST100182,Female,60,One year,20.85,1245.74,Bank transfer,No
CUST100183,Male,67,Month-to-month,103.92,6945.27,Electronic check,No
CUST100184,,30,Month-to-month,23.2,700.89,Bank transfer,No
CUST100185,Male,52,Month-to-month,114.02,5932.45,Mailed check,No
CUST100186,Female,24,Two year,109.21,2612.28,Mailed check,No
CUST100187,Male,43,Two year,73.55,3179.06,Credit card,No
CUST100188,Male,11,Month-to-month,74.36,810.12,Bank transfer,Yes
CUST100189,Female,8,Two year,85.38,,Electronic check,No
CUST100190,Male,11,One year,58.71,647.56,Mailed check,No
CUST100191,Male,68,,84.72,5744.97,Electronic check,No
CUST100192,,53,One year,24.48,1314.73,Credit card,No
CUST100193,Male,53,Month-to-month,25.4,1341.18,Bank transfer,No
CUST100194,Male,27,Two year,65.72,1757.67,Bank transfer,No
CUST100195,Female,55,Month-to-month,74.96,4118.29,Mailed check,No
CUST100196,Female,68,Two year,108.78,7401.05,Bank transfer,Yes
CUST100197,Female,57,One year,30.47,1737.34,Mailed check,Yes
CUST100198,Male,41,Month-to-month,,4200.44,Credit card,No
CUST100199,Male,37,Two year,41.0,1499.22,Bank transfer,No
CUST100200,Male,67,Two year,59.41,3971.85,Mailed check,Yes
CUST100201,Female,52,One year,51.66,2699.09,Electronic check,Yes
CUST100202,Male,32,Month-to-month,60.02,1903.84,Mailed check,No
CUST100203,Male,70,Month-to-month,35.05,2467.72,Bank transfer,No
CUST100204,Female,55,Month-to-month,70.36,3853.48,Credit card,No
CUST100205,Male,71,One year,100.16,7124.74,Bank transfer,No
CUST100206,Female,50,Month-to-month,64.15,3201.93,Bank transfer,No
CUST100207,Female,42,One year,69.06,2905.01,Mailed check,No
CUST100208,Female,14,,104.88,1454.44,Electronic check,No
CUST100209,Male,37,One year,90.61,3335.22,Bank transfer,No
CUST100210,Male,14,Two year,69.05,955.34,Electronic check,Yes
CUST100211,Male,4,Month-to-month,45.77,168.19,Mailed check,No
CUST100212,Male,53,Month-to-month,108.49,5742.47,Electronic check,Yes
CUST100213,Male,50,One year,77.7,3885.58,Mailed check,Yes
CUST100214,Male,9,One year,42.11,382.54,Credit card,No
CUST100215,Male,11,Month-to-month,46.91,527.6,Electronic check,No
CUST100216,Female,3,One year,100.31,307.18,Electronic check,No
CUST100217,Male,17,,24.41,419.32,Credit card,No
CUST100218,Female,35,Two year,119.21,4168.82,Electronic check,No
CUST100219,Male,24,One year,33.04,791.91,Credit card,No
CUST100220,Male,35,Month-to-month,99.61,3482.93,Bank transfer,Yes
CUST100221,Male,66,One year,59.48,3939.37,Mailed check,No
CUST100222,Female,8,Month-to-month,69.22,542.96,Credit card,Yes
CUST100223,Female,60,Month-to-month,108.07,6464.43,Electronic check,No
CUST100224,Female,52,One year,61.29,3193.13,Credit card,Yes
CUST100225,,17,Two year,73.75,1241.85,Electronic check,No
CUST100226,Male,42,Month-to-month,24.93,1062.66,Bank transfer,No
CUST100227,Female,34,Month-to-month,20.23,702.18,Credit card,No
CUST100228,Male,62,Month-to-month,44.48,2740.83,,No
CUST100229,Male,3,Two year,88.06,248.44,Mailed check,No
CUST100230,Female,40,Two year,32.13,1285.01,Electronic check,No
CUST100231,Female,44,One year,31.38,1385.09,Electronic check,No
CUST100232,,49,Two year,61.1,2984.9,Bank transfer,No
CUST100233,Female,27,One year,84.78,2297.73,Mailed check,Yes
CUST100234,Female,41,One year,91.21,3743.41,Credit card,Yes
CUST100235,,68,,37.85,2566.79,Credit card,Yes
CUST100236,Female,0,One year,27.96,-18.99,Electronic check,Yes
CUST100237,Female,38,Two year,114.04,4343.53,Bank transfer,No
CUST100238,Male,16,One year,46.07,725.71,Bank transfer,Yes
CUST100239,Female,34,Two year,105.33,3594.6,Credit card,Yes
CUST100240,Female,45,Two year,106.35,4782.56,Mailed check,Yes
CUST100241,Male,41,One year,97.25,3990.33,Mailed check,No
CUST100242,Female,38,Month-to-month,36.88,1416.36,Credit card,No
CUST100243,Male,48,One year,102.18,4919.18,Credit card,No
CUST100244,Male,61,Two year,96.93,5907.59,Bank transfer,No
CUST100245,Female,37,Month-to-month,79.67,2936.15,Mailed check,Yes
CUST100246,Male,22,One year,53.72,1192.85,Credit card,No
CUST100247,Male,21,One year,46.25,968.57,Credit card,No
CUST100248,Male,3,One year,32.19,84.25,Electronic check,Yes
CUST100249,Male,48,Month-to-month,70.98,3423.22,Credit card,No
CUST100250,Female,58,,78.53,4542.66,Credit card,No
CUST100251,Male,67,One year,55.93,3728.34,Mailed check,No
CUST100252,Female,70,One year,67.54,4708.61,Bank transfer,No
CUST100253,Male,1,One year,56.35,61.24,Mailed check,Yes
CUST100254,Male,48,One year,84.1,4043.27,Bank transfer,No
CUST100255,Male,30,One year,110.13,3296.34,Electronic check,Yes
CUST100256,Male,39,Two year,36.39,1412.01,Credit card,Yes
CUST100257,Female,47,Two year,58.14,2726.16,Electronic check,Yes
CUST100258,Female,50,One year,34.09,1711.71,Bank transfer,No
CUST100259,Male,42,Month-to-month,82.49,3446.91,Mailed check,Yes
CUST100260,Male,54,Two year,92.89,5033.22,Mailed check,No
CUST100261,Female,48,Month-to-month,113.19,5422.02,Electronic check,No
CUST100262,Male,56,Two year,47.89,2701.83,Bank transfer,No
CUST100263,Male,14,One year,115.02,1597.14,Electronic check,No
CUST100264,Male,26,Two year,26.33,695.44,Electronic check,No
CUST100265,Female,67,One year,80.3,5369.04,Credit card,No
CUST100266,Female,63,,25.71,1602.96,Electronic check,No
CUST100267,Female,29,One year,109.38,3187.02,Credit card,No
CUST100268,Male,35,One year,72.98,2568.65,Credit card,No
CUST100269,Male,66,One year,86.93,5733.52,Mailed check,Yes
CUST100270,Female,48,One year,103.16,4959.78,Credit card,No
CUST100271,Female,54,Month-to-month,35.03,1893.9,Credit card,No
CUST100272,,55,One year,23.86,1326.42,Mailed check,No
CUST100273,Female,67,Month-to-month,107.89,7221.23,Electronic check,No
CUST100274,Male,43,Month-to-month,51.49,,Bank transfer,No
CUST100275,Female,30,One year,32.9,986.41,Bank transfer,No
CUST100276,Male,57,Month-to-month,66.85,3804.61,Bank transfer,Yes
CUST100277,Female,52,Two year,79.83,4166.82,Electronic check,No
CUST100278,Male,22,One year,23.1,494.84,Credit card,No
CUST100279,Female,27,,47.49,1268.21,Bank transfer,No
CUST100280,Female,15,One year,23.28,352.28,,No
CUST100281,Female,36,One year,62.03,,Credit card,No
CUST100282,Female,20,One year,109.51,2177.98,Mailed check,No
CUST100283,Male,16,Month-to-month,118.27,,Bank transfer,Yes
CUST100284,Female,36,Two year,83.7,3031.06,Credit card,No
CUST100285,Male,18,Two year,36.16,640.74,Bank transfer,No
CUST100286,Male,29,,110.58,3213.55,Bank transfer,No
CUST100287,Male,44,,71.62,3160.89,Bank transfer,No
CUST100288,Male,17,Month-to-month,35.37,599.22,Credit card,Yes
CUST100289,Female,61,Month-to-month,112.17,,Electronic check,No
CUST100290,Male,35,Month-to-month,95.75,3360.72,Credit card,No
CUST100291,Male,51,One year,93.17,4749.99,Bank transfer,Yes
CUST100292,Male,18,Month-to-month,90.92,1639.33,Credit card,Yes
CUST100293,Female,43,One year,40.03,1728.99,Mailed check,Yes
CUST100294,Female,6,Month-to-month,41.1,250.29,Electronic check,No
CUST100295,Female,43,Two year,88.83,3834.84,Credit card,Yes
CUST100296,Female,67,Month-to-month,41.97,2806.27,Mailed check,No
CUST100297,Male,33,Month-to-month,63.87,2099.71,Electronic check,No
CUST100298,Male,65,Two year,,6371.55,Mailed check,No
CUST100299,Female,68,One year,98.4,6672.71,Electronic check,Yes
CUST100300,Male,54,One year,65.33,3509.54,Credit card,No
CUST100301,Male,9,Month-to-month,99.22,907.78,Mailed check,Yes
CUST100302,Male,41,Two year,103.86,4265.4,Bank transfer,Yes
CUST100303,Female,40,One year,85.48,3425.62,Mailed check,Yes
CUST100304,Female,68,Month-to-month,42.84,2917.71,Electronic check,No
CUST100305,Male,9,Two year,47.4,440.57,Credit card,Yes
CUST100306,Female,9,One year,51.48,462.53,Electronic check,No
CUST100307,Female,59,One year,31.68,1883.94,Mailed check,No
CUST100308,Female,50,Two year,47.32,2360.38,Mailed check,No
CUST100309,Female,20,Two year,40.95,836.07,Bank transfer,No
CUST100310,Female,7,Two year,65.53,466.66,Credit card,No
CUST100311,Male,64,Two year,110.84,7084.05,Credit card,No
CUST100312,Female,29,Month-to-month,30.45,,Mailed check,No
CUST100313,Male,48,Two year,92.03,4418.76,Credit card,Yes
CUST100314,Male,8,One year,88.73,695.36,Bank transfer,Yes
CUST100315,Female,16,One year,29.58,476.93,Electronic check,No
CUST100316,Male,68,Month-to-month,112.26,7626.27,Credit card,No
CUST100317,Male,57,One year,76.85,4362.54,Mailed check,No
CUST100318,Male,56,One year,56.37,3174.67,Electronic check,No
CUST100319,Female,61,Two year,95.65,5840.31,Electronic check,No
CUST100320,Female,51,One year,45.74,2347.82,Bank transfer,No
CUST100321,Male,60,Month-to-month,89.35,5368.04,Mailed check,No
CUST100322,Female,39,Two year,23.97,929.11,,No
CUST100323,Female,37,Two year,103.94,3846.29,Mailed check,No
CUST100324,,42,Month-to-month,64.82,2729.47,Electronic check,No
CUST100325,Female,62,Two year,83.67,5205.95,Mailed check,Yes
CUST100326,Male,18,Two year,42.12,748.31,Credit card,No
CUST100327,Male,49,Month-to-month,87.71,4312.79,Credit card,Yes
CUST100328,Female,32,Two year,97.22,3128.0,Bank transfer,Yes
CUST100329,Female,12,Month-to-month,67.32,814.66,Credit card,No
CUST100330,Male,61,Month-to-month,81.77,,Credit card,Yes
CUST100331,Male,42,One year,65.63,2752.38,Mailed check,No
CUST100332,Female,48,One year,109.41,5269.8,Mailed check,Yes
CUST100333,Male,35,Two year,69.79,2450.76,Electronic check,No
CUST100334,Female,9,Two year,104.18,919.3,Bank transfer,No
CUST100335,Female,5,Month-to-month,100.14,516.97,Mailed check,No
CUST100336,Male,56,Two year,61.05,3418.18,Credit card,Yes
CUST100337,Male,0,Month-to-month,43.01,-1.59,Electronic check,No
CUST100338,Female,70,Month-to-month,60.61,4245.36,Mailed check,No
CUST100339,Female,57,Two year,102.62,5835.32,Bank transfer,No
CUST100340,Male,20,Month-to-month,42.76,853.97,Bank transfer,Yes
CUST100341,Female,55,One year,72.44,3997.45,Electronic check,Yes
CUST100342,Male,19,Two year,100.61,1892.21,Electronic check,Yes
CUST100343,Female,53,One year,55.35,2924.47,Electronic check,No
CUST100344,Male,24,Two year,84.22,2001.38,Electronic check,No
CUST100345,,27,Month-to-month,44.56,1199.75,Electronic check,No
CUST100346,Male,4,Two year,30.93,132.85,Credit card,Yes
CUST100347,Female,20,One year,99.44,2000.75,Credit card,No
CUST100348,Female,17,Month-to-month,29.9,526.11,,No
CUST100349,Male,46,Two year,47.14,2172.78,Bank transfer,No
CUST100350,Female,69,Two year,105.51,7270.38,Credit card,No
CUST100351,Male,56,Two year,54.65,3077.37,Credit card,No
CUST100352,Male,18,One year,117.3,2122.41,Credit card,Yes
CUST100353,Female,64,One year,117.97,,Mailed check,Yes
CUST100354,Female,2,Two year,46.83,101.49,Electronic check,Yes
CUST100355,Male,41,Month-to-month,24.1,,Mailed check,No
CUST100356,Female,20,Month-to-month,90.51,1818.7,Bank transfer,Yes
CUST100357,Female,39,One year,65.1,2533.63,Bank transfer,Yes
CUST100358,Male,66,Month-to-month,30.08,1993.8,Bank transfer,No
CUST100359,Male,24,One year,90.75,2159.61,Bank transfer,Yes
CUST100360,Female,54,Two year,23.12,1243.94,Credit card,Yes
CUST100361,Male,51,One year,107.02,5454.27,Credit card,No
CUST100362,Male,43,One year,33.87,1443.08,Mailed check,Yes
CUST100363,Female,55,Two year,32.73,1781.07,Electronic check,No
CUST100364,Male,54,Month-to-month,37.57,2014.12,Bank transfer,No
CUST100365,Male,69,One year,116.03,8012.25,Mailed check,No
CUST100366,Female,65,One year,89.32,5817.89,Credit card,No
CUST100367,Female,18,Two year,100.14,1822.05,Credit card,Yes
CUST100368,Male,6,Month-to-month,59.76,352.41,Electronic check,No
CUST100369,Male,62,One year,53.63,3329.04,Electronic check,No
CUST100370,Female,41,Two year,43.45,1798.94,Electronic check,No
CUST100371,,41,One year,68.06,2777.14,Mailed check,No
CUST100372,Female,58,Two year,75.18,4369.15,Credit card,No
CUST100373,Female,19,Month-to-month,83.18,1590.62,Credit card,No
CUST100374,Male,16,Month-to-month,45.71,714.92,,No
CUST100375,Female,26,Month-to-month,114.87,3001.07,Bank transfer,No
CUST100376,Female,46,Month-to-month,36.98,1713.6,Electronic check,No
CUST100377,Male,1,One year,116.57,97.91,Mailed check,No
CUST100378,Female,62,One year,21.49,1316.02,,No
CUST100379,Male,61,Month-to-month,68.11,4136.68,Electronic check,No
CUST100380,Female,18,Month-to-month,53.34,953.51,Mailed check,No
CUST100381,Female,16,Month-to-month,64.91,1038.93,Electronic check,No
CUST100382,Female,68,One year,77.07,5242.05,Credit card,Yes
CUST100383,Male,38,Month-to-month,63.56,2405.99,Bank transfer,No
CUST100384,Male,70,Month-to-month,61.48,4320.06,,Yes
CUST100385,Female,38,Month-to-month,93.27,3538.99,Mailed check,No
CUST100386,Male,35,Two year,88.59,3082.47,Bank transfer,No
CUST100387,Male,39,Month-to-month,103.33,4021.88,Mailed check,Yes
CUST100388,Male,44,Two year,45.0,1981.24,Bank transfer,No
CUST100389,Male,3,Two year,80.95,239.18,Bank transfer,No
CUST100390,,24,Month-to-month,78.52,1875.43,Electronic check,Yes
CUST100391,Male,68,Two year,56.97,3859.21,Credit card,No
CUST100392,Female,29,Month-to-month,68.61,2002.46,Electronic check,No
CUST100393,Female,67,One year,51.38,3462.31,Mailed check,Yes
CUST100394,Male,28,One year,34.18,950.22,Mailed check,No
CUST100395,Female,67,One year,41.38,2767.72,Bank transfer,No
CUST100396,Female,50,One year,30.55,1532.22,Bank transfer,Yes
CUST100397,Female,23,Two year,88.31,2039.87,Credit card,Yes
CUST100398,Female,13,Month-to-month,86.07,1114.59,Electronic check,No
CUST100399,Male,68,Month-to-month,115.06,7840.28,Mailed check,No
CUST100400,Female,17,Month-to-month,92.97,1582.89,Bank transfer,No
CUST100401,Female,41,One year,25.2,1031.22,Credit card,Yes
CUST100402,Male,56,One year,108.42,6077.39,Mailed check,No
CUST100403,Male,11,Month-to-month,106.27,1187.08,Bank transfer,No
CUST100404,Female,16,One year,64.33,1041.06,,No
CUST100405,Female,29,Month-to-month,78.59,2260.71,Credit card,No
CUST100406,Female,22,Month-to-month,117.61,2580.71,Credit card,No
CUST100407,Female,0,Month-to-month,73.23,-1.18,Mailed check,No
CUST100408,Female,31,,110.53,3419.01,Electronic check,No
CUST100409,Female,8,Month-to-month,28.3,234.41,Mailed check,No
CUST100410,Male,14,Month-to-month,39.11,560.59,Bank transfer,No
CUST100411,Female,27,Month-to-month,64.08,1739.41,Electronic check,No
CUST100412,Female,23,One year,,1824.61,Bank transfer,No
CUST100413,Male,59,Month-to-month,101.62,5986.48,Mailed check,No
CUST100414,Male,34,Month-to-month,118.83,4055.22,,No
CUST100415,Male,26,One year,58.89,1541.8,Bank transfer,No
CUST100416,,19,One year,24.74,,Mailed check,No
CUST100417,Female,64,One year,100.12,6417.04,Mailed check,No
CUST100418,Female,48,Month-to-month,80.44,3845.28,Electronic check,No
CUST100419,Female,0,Two year,39.85,11.57,Mailed check,No
CUST100420,Female,9,Two year,69.48,626.61,Credit card,Yes
CUST100421,Female,46,One year,94.23,4326.27,Bank transfer,No
CUST100422,Female,58,Two year,97.04,5634.55,,Yes
CUST100423,Male,61,One year,69.96,4273.22,Mailed check,No
CUST100424,Female,17,Month-to-month,50.52,847.22,Mailed check,No
CUST100425,Male,45,Two year,117.37,5262.87,Credit card,Yes
CUST100426,Male,31,Month-to-month,86.34,2673.88,Electronic check,No
CUST100427,Female,26,Two year,60.82,1584.1,Mailed check,No
